Id Empresas,Id Frutas,Id Cliente,Cantidad,Anio,Ventas EEUU,Ventas China,Ventas Espana,Ventas Francia,Ventas Canada
1,6,1,1859,2017,2,3,1,3,4
2,6,5,1564,2015,5,3,2,3,2
4,5,5,1377,2014,5,3,2,2,1
2,5,5,1546,2018,3,4,3,3,3
7,2,1,1287,2019,5,3,1,2,5
7,6,4,2077,2017,5,4,2,3,2
3,5,5,2110,2013,5,4,1,2,1
7,2,3,1046,2016,5,3,1,2,3
3,6,4,1028,2017,5,3,3,3,1
7,6,3,1166,2013,3,4,3,3,4
5,5,2,1970,2018,3,3,2,2,3
6,4,2,1874,2018,5,3,2,3,5
7,7,5,2304,2017,1,4,1,3,1
5,5,4,1120,2015,1,3,3,3,4
5,5,1,2001,2019,1,4,3,3,1
2,5,2,2072,2013,1,4,1,2,1
5,5,4,2260,2017,2,3,3,2,2
6,1,3,2296,2017,3,3,1,3,2
5,7,5,1639,2016,2,3,1,2,1
2,2,2,1484,2019,1,4,1,2,4
3,6,3,1025,2018,1,3,2,3,2
1,1,1,2015,2019,4,4,1,3,4
5,4,2,1153,2019,1,4,1,3,1
6,2,3,1014,2011,4,4,2,2,5
2,4,2,899,2015,4,4,2,2,1
4,2,3,2207,2015,3,3,2,3,4
1,1,3,2331,2010,5,4,3,2,4
5,6,3,1947,2017,5,4,1,3,5
4,5,3,1314,2018,4,3,1,2,2
6,1,3,1148,2019,3,3,3,2,2
5,7,5,922,2019,3,3,3,2,5
1,1,5,1551,2017,2,3,2,3,4
1,2,2,1304,2020,4,4,2,2,1
4,3,2,2232,2012,4,4,3,2,3
2,1,3,2380,2017,3,3,3,3,3
3,2,1,1996,2011,4,3,3,2,2
1,3,4,1269,2015,4,3,3,3,2
2,5,5,1962,2017,1,4,1,2,1
7,3,5,1202,2011,5,4,2,3,2
6,1,1,2325,2012,2,3,2,2,3
1,2,4,1796,2012,4,4,1,3,4
2,5,5,2265,2010,5,4,3,2,4
1,3,5,2358,2020,5,3,3,3,3
5,5,2,1825,2017,1,3,2,3,5
2,3,4,2147,2010,5,4,1,3,5
5,3,1,2022,2019,3,3,3,3,4
2,2,2,1667,2017,2,4,1,2,1
4,7,1,1237,2018,3,3,2,3,1
4,1,5,1930,2012,4,3,3,3,1
4,3,3,1638,2018,3,4,2,3,3
6,2,4,983,2011,1,3,3,3,2
6,4,1,2259,2020,4,4,2,2,1
7,6,4,1324,2011,4,3,3,2,1
3,4,5,1814,2016,4,4,3,3,5
5,5,2,1610,2012,1,3,1,2,2
6,6,3,1183,2010,2,4,1,3,2
2,5,5,825,2019,1,3,2,3,2
6,2,5,1584,2018,1,4,1,2,2
4,5,4,1199,2013,3,4,2,2,1
3,5,4,1685,2011,1,3,1,2,1
1,4,5,1334,2011,2,3,2,2,4
1,6,5,1813,2016,3,4,2,2,4
6,5,5,1477,2014,5,3,2,3,4
2,3,3,1688,2017,5,4,3,2,3
5,7,1,1461,2012,2,4,2,2,4
3,3,4,2224,2013,4,3,3,2,4
4,4,5,1845,2015,3,4,2,2,4
1,2,4,1554,2012,2,3,1,2,1
4,3,1,2105,2012,4,3,3,2,3
1,6,1,1592,2010,2,4,1,2,5
4,3,2,1662,2014,5,4,2,2,1
2,3,1,2307,2017,1,3,2,3,5
5,5,4,1551,2020,3,3,1,3,2
3,5,2,2391,2016,3,3,2,2,2
3,5,4,2199,2014,5,3,1,3,4
3,2,1,2320,2015,3,4,1,3,2
5,3,2,1464,2017,2,3,1,3,1
3,5,5,944,2015,5,4,1,3,4
7,7,4,1199,2020,5,3,3,2,3
1,4,5,1288,2019,3,3,2,3,1
7,5,2,1678,2011,3,4,2,3,2
2,6,3,1919,2017,4,4,2,3,3
1,3,5,2326,2010,3,3,1,2,2
5,5,1,2302,2010,4,4,1,3,5
7,7,2,1798,2012,1,3,3,3,2
2,1,5,1308,2018,3,3,3,2,5
5,1,2,1809,2011,4,4,3,2,2
5,4,2,1880,2013,3,3,2,2,4
5,6,4,1025,2010,2,4,3,3,4
5,1,2,942,2016,4,4,2,2,2
7,4,4,854,2010,1,4,2,3,4
2,4,2,1058,2010,2,3,1,2,3
1,1,5,1839,2010,2,4,1,2,5
6,3,2,1535,2016,3,3,3,3,1
4,1,2,2156,2017,1,4,2,3,4
1,6,2,2176,2010,2,4,3,3,2
6,5,3,1552,2018,4,3,2,3,3
6,6,1,933,2011,3,4,2,3,1
7,5,3,1848,2019,4,4,1,3,5
1,6,1,2039,2019,1,3,2,2,5
7,2,1,2265,2015,1,4,1,3,5
7,5,2,2244,2013,1,3,3,2,4
5,6,2,2303,2012,1,4,3,3,5
1,5,4,1124,2013,4,3,3,2,5
5,2,5,976,2019,1,4,3,2,3
6,1,1,1936,2011,1,4,3,3,1
7,4,5,1169,2012,1,3,2,3,2
3,1,4,1725,2010,4,3,1,2,3
4,6,2,1968,2018,4,4,3,3,3
5,1,1,1497,2015,1,4,3,2,4
6,1,3,906,2012,2,3,3,2,1
3,1,1,2135,2019,1,4,1,3,1
7,5,3,1811,2014,5,4,3,3,5
